Link,Team,CTRCT,Cap Hit,Image
https://www.eliteprospects.com/player/34882/hampus-lindholm,Boston Bruins,29/30,"$6,500,000",boston_bruins.png
https://www.eliteprospects.com/player/120965/brandon-carlo,Boston Bruins,26/27,"$4,100,000",boston_bruins.png
https://www.eliteprospects.com/player/108648/nikita-zadorov,Boston Bruins,30/31,"$5,000,000",boston_bruins.png
https://www.eliteprospects.com/player/291905/andrew-peeke,Boston Bruins,25/26,"$2,750,000",boston_bruins.png
https://www.eliteprospects.com/player/497121/mason-lohrei,Boston Bruins,24/25,"$925,000",boston_bruins.png
https://www.eliteprospects.com/player/195951/parker-wotherspoon,Boston Bruins,24/25,"$800,000",boston_bruins.png
https://www.eliteprospects.com/player/84700/jordan-oesterle,Boston Bruins,25/26,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/201362/ian-mitchell,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/283940/alec-regula,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/201479/michael-callahan,Boston Bruins,24/25,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/286681/billy-sweezey,Boston Bruins,25/26,"$775,000",boston_bruins.png
https://www.eliteprospects.com/player/502761/frederic-brunet,Boston Bruins,25/26,"$860,000",boston_bruins.png
https://www.eliteprospects.com/player/512167/ryan-mast,Boston Bruins,25/26,"$830,556",boston_bruins.png
https://www.eliteprospects.com/player/672923/jackson-edward,Boston Bruins,26/27,"$831,667",boston_bruins.png
https://www.eliteprospects.com/player/337304/drew-bavaro,Boston Bruins,24/25,"$867,500",boston_bruins.png
https://www.eliteprospects.com/player/616229/mason-langenbrunner,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/512168/ty-gallagher,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/394729/jonathan-myrenberg,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/644924/kristian-kostadinski,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/619045/elliott-groenewold,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/719598/loke-johansson,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/514141/roman-bychkov,Boston Bruins,,,boston_bruins.png
https://www.eliteprospects.com/player/301349/tage-thompson,Buffalo Sabres,29/30,"$7,142,857",buffalo_sabres.png
https://www.eliteprospects.com/player/286938/dylan-cozens,Buffalo Sabres,29/30,"$7,100,000",buffalo_sabres.png
https://www.eliteprospects.com/player/271502/ryan-mcleod,Buffalo Sabres,24/25,"$2,100,000",buffalo_sabres.png
https://www.eliteprospects.com/player/259043/sam-lafferty,Buffalo Sabres,25/26,"$2,000,000",buffalo_sabres.png
https://www.eliteprospects.com/player/579198/ji%C5%99i-kulich,Buffalo Sabres,26/27,"$886,666",buffalo_sabres.png
https://www.eliteprospects.com/player/101415/mason-jobst,Buffalo Sabres,24/25,"$775,000",buffalo_sabres.png
https://www.eliteprospects.com/player/535699/noah-ostlund,Buffalo Sabres,26/27,"$886,666",buffalo_sabres.png
https://www.eliteprospects.com/player/201944/tyler-tullio,Buffalo Sabres,24/25,"$823,333",buffalo_sabres.png
https://www.eliteprospects.com/player/272225/josh-dunne,Buffalo Sabres,25/26,"$775,000",buffalo_sabres.png
https://www.eliteprospects.com/player/408687/tyson-kozak,Buffalo Sabres,24/25,"$850,000",buffalo_sabres.png
https://www.eliteprospects.com/player/643681/anton-wahlberg,Buffalo Sabres,26/27,"$865,000",buffalo_sabres.png
https://www.eliteprospects.com/player/796075/konsta-helenius,Buffalo Sabres,26/27,"$975,000",buffalo_sabres.png
https://www.eliteprospects.com/player/322178/peyton-krebs,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/504013/matteo-costantini,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/471614/linus-sjodin,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/420445/william-von-barnekow,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/543274/gustav-karlsson,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/313721/vasili-glotov,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/152112/arttu-ruotsalainen,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/20726/jason-zucker,Buffalo Sabres,24/25,"$5,000,000",buffalo_sabres.png
https://www.eliteprospects.com/player/535582/zach-benson,Buffalo Sabres,25/26,"$950,000",buffalo_sabres.png
https://www.eliteprospects.com/player/183455/jordan-greenway,Buffalo Sabres,24/25,"$3,000,000",buffalo_sabres.png
https://www.eliteprospects.com/player/247477/beck-malenstyn,Buffalo Sabres,25/26,"$1,350,000",buffalo_sabres.png
https://www.eliteprospects.com/player/267772/brett-murray,Buffalo Sabres,24/25,"$775,000",buffalo_sabres.png
https://www.eliteprospects.com/player/537762/alexander-kisakov,Buffalo Sabres,24/25,"$859,167",buffalo_sabres.png
https://www.eliteprospects.com/player/618304/viktor-neuchev,Buffalo Sabres,25/26,"$870,000",buffalo_sabres.png
https://www.eliteprospects.com/player/539226/prokhor-poltapov,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/535579/ethan-miedema,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/525657/viljami-marjala,Buffalo Sabres,,,buffalo_sabres.png
https://www.eliteprospects.com/player/178526/alex-tuch,Buffalo Sabres,25/26,"$4,750,000",buffalo_sabres.png
